SMILES1,SMILES2
C(CC(=O)O)[C@@H](C(=O)O)N,CC(=O)N[C@@H](CCC(=O)O)C(=O)O
CCCCC,C(C(=O)O)N
CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
ABCDE,C(C(=O)O)N
C(CS(=O)(=O)O)N,C(CS(=O)(=O)O)NC(=O)CO
C(CCNCCCN)CN,C(CCNCCCN)CNCCCN
C(CCNCCCN)CNCCCN,CCCCCC
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)OP(=O)(O)O
COCOCOCOCOCOCOCOCOCOCOC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
C(C(=O)O)N,TiO2
